Step,Polarization,Revenue,Churn_Rate,Avg_Frustration,Active_Users,Run,Bridge
0,0.7098965264320468,80.0,0.0,0.0,200,0,False
1,0.7966721280646241,80.0,0.0,0.51,200,0,False
2,0.8666136586465616,80.0,0.0,0.78,200,0,False
3,0.8995188382544638,80.0,0.0,1.075,200,0,False
4,0.9261817677094725,80.0,0.0,1.255,200,0,False
5,0.9554166133742875,80.0,0.0,1.575,200,0,False
6,0.965029122281449,80.0,0.0,1.685,200,0,False
7,0.9746387880310831,80.0,0.0,1.93,200,0,False
8,0.9832930077433769,80.0,0.0,2.195,200,0,False
9,0.9853238316933474,80.0,0.0,2.385,200,0,False
10,0.9881142721215566,80.0,0.0,2.545,200,0,False
11,0.9934364092118109,80.0,0.0,2.805,200,0,False
12,0.994780961639136,80.0,0.0,3.025,200,0,False
13,0.9931121466578999,80.0,0.0,3.265,200,0,False
14,0.9934565312677802,80.0,0.0,3.435,200,0,False
15,0.9952275613705965,80.0,0.0,3.665,200,0,False
16,0.9969381518071133,77.2,0.035,3.38860103626943,193,0,False
17,0.9944426287721757,77.2,0.035,3.564766839378238,193,0,False
18,0.9885665210784209,76.80000000000001,0.04,3.6927083333333335,192,0,False
19,0.9897810886534657,76.80000000000001,0.04,3.90625,192,0,False
20,0.9955483285287202,76.0,0.05,4.036842105263158,190,0,False
21,0.9939459277946845,75.60000000000001,0.055,4.116402116402116,189,0,False
22,0.9912120709938723,73.60000000000001,0.08,3.9130434782608696,184,0,False
23,0.9895464786015316,73.60000000000001,0.08,4.086956521739131,184,0,False
24,0.9918520551960524,72.8,0.09,4.137362637362638,182,0,False
25,0.9948168230853589,72.4,0.095,4.077348066298343,181,0,False
26,0.9953804007418458,72.0,0.1,4.194444444444445,180,0,False
27,0.9937974705655815,72.0,0.1,4.333333333333333,180,0,False
28,0.9875257633890768,71.2,0.11,4.241573033707865,178,0,False
29,0.9874359230531008,70.8,0.115,4.2824858757062145,177,0,False
30,0.9889825503030709,68.4,0.145,4.0,171,0,False
31,0.989073801554105,68.0,0.15,3.8117647058823527,170,0,False
32,0.9901637269992852,68.0,0.15,3.876470588235294,170,0,False
33,0.9862287020519069,67.60000000000001,0.155,3.834319526627219,169,0,False
34,0.9903768570932107,66.8,0.165,3.81437125748503,167,0,False
35,0.9877763317574184,66.0,0.175,3.7636363636363637,165,0,False
36,0.9863936261755152,64.8,0.19,3.617283950617284,162,0,False
