Step,Polarization,Revenue,Churn_Rate,Avg_Frustration,Active_Users,Run,Bridge
0,0.7098965264320468,80.0,0.0,0.0,200,0,True
1,0.7413196629074369,80.0,0.0,0.23,200,0,True
2,0.8007882924324236,80.0,0.0,0.315,200,0,True
3,0.8528396350317083,80.0,0.0,0.375,200,0,True
4,0.8810881018341007,80.0,0.0,0.41,200,0,True
5,0.8974675639303911,80.0,0.0,0.435,200,0,True
6,0.9136097049423961,80.0,0.0,0.44,200,0,True
7,0.9311868450577516,80.0,0.0,0.455,200,0,True
8,0.9340592692566546,80.0,0.0,0.43,200,0,True
9,0.943724988981407,80.0,0.0,0.56,200,0,True
10,0.9544232570615433,80.0,0.0,0.495,200,0,True
11,0.9613938912561667,80.0,0.0,0.5,200,0,True
12,0.9677056178158085,80.0,0.0,0.585,200,0,True
13,0.9752424060364663,80.0,0.0,0.53,200,0,True
14,0.9729244922267822,80.0,0.0,0.51,200,0,True
15,0.9808667235808668,80.0,0.0,0.47,200,0,True
16,0.9837917039516351,80.0,0.0,0.555,200,0,True
17,0.9842885035379928,80.0,0.0,0.575,200,0,True
18,0.9846661613587836,80.0,0.0,0.59,200,0,True
19,0.984610279828704,80.0,0.0,0.655,200,0,True
20,0.9871553918629284,80.0,0.0,0.63,200,0,True
21,0.9919176998427648,80.0,0.0,0.585,200,0,True
22,0.9901580859340068,80.0,0.0,0.575,200,0,True
23,0.9918733348403526,80.0,0.0,0.66,200,0,True
24,0.9904501170931687,80.0,0.0,0.615,200,0,True
25,0.9905078676758606,80.0,0.0,0.6,200,0,True
26,0.9909038190999431,80.0,0.0,0.565,200,0,True
27,0.991726735726558,80.0,0.0,0.69,200,0,True
28,0.9924037353210672,80.0,0.0,0.705,200,0,True
29,0.9929072185507154,80.0,0.0,0.705,200,0,True
30,0.9934172198458198,80.0,0.0,0.71,200,0,True
31,0.9932998256186873,80.0,0.0,0.77,200,0,True
32,0.9937915111219627,80.0,0.0,0.795,200,0,True
33,0.9920535919472531,80.0,0.0,0.88,200,0,True
34,0.9933406310587367,80.0,0.0,0.855,200,0,True
35,0.9892956822305975,80.0,0.0,0.86,200,0,True
36,0.9894603416631245,79.60000000000001,0.005,0.6582914572864321,199,0,True
37,0.9920235211581448,79.60000000000001,0.005,0.7135678391959799,199,0,True
38,0.9937021819864795,79.60000000000001,0.005,0.5829145728643216,199,0,True
39,0.9885259801634632,79.60000000000001,0.005,0.5778894472361809,199,0,True
40,0.9928392599839215,79.60000000000001,0.005,0.5979899497487438,199,0,True
41,0.9909687953554972,79.60000000000001,0.005,0.6080402010050251,199,0,True
42,0.9925654726245039,79.60000000000001,0.005,0.7386934673366834,199,0,True
43,0.9934092019372553,79.60000000000001,0.005,0.6683417085427136,199,0,True
44,0.9907441049498933,79.60000000000001,0.005,0.6532663316582915,199,0,True
45,0.9888510299769335,79.60000000000001,0.005,0.6432160804020101,199,0,True
46,0.9893665349631416,79.60000000000001,0.005,0.6683417085427136,199,0,True
47,0.9908656767543731,79.60000000000001,0.005,0.7336683417085427,199,0,True
48,0.991606250127719,79.60000000000001,0.005,0.7135678391959799,199,0,True
49,0.9933252352762976,79.60000000000001,0.005,0.7185929648241206,199,0,True
50,0.990863711360432,79.60000000000001,0.005,0.6984924623115578,199,0,True
51,0.9897505166123627,79.60000000000001,0.005,0.628140703517588,199,0,True
52,0.9867558236263032,79.60000000000001,0.005,0.5979899497487438,199,0,True
53,0.9869647933712562,79.60000000000001,0.005,0.6934673366834171,199,0,True
54,0.9869065703930084,79.60000000000001,0.005,0.6733668341708543,199,0,True
55,0.9833422178692219,79.60000000000001,0.005,0.6130653266331658,199,0,True
56,0.9832860341625541,79.60000000000001,0.005,0.6683417085427136,199,0,True
57,0.9820279630241695,79.60000000000001,0.005,0.6884422110552764,199,0,True
58,0.9760296953044183,79.60000000000001,0.005,0.6080402010050251,199,0,True
59,0.9749116872964212,79.60000000000001,0.005,0.6030150753768844,199,0,True
60,0.9817620531485246,79.60000000000001,0.005,0.628140703517588,199,0,True
61,0.9808659061855339,79.60000000000001,0.005,0.6180904522613065,199,0,True
62,0.9843565306993349,79.60000000000001,0.005,0.6231155778894473,199,0,True
63,0.9874385283232017,79.60000000000001,0.005,0.7185929648241206,199,0,True
64,0.9896849699928655,79.60000000000001,0.005,0.7487437185929648,199,0,True
65,0.9890271277402399,79.60000000000001,0.005,0.7587939698492462,199,0,True
66,0.9900870021672598,79.60000000000001,0.005,0.7688442211055276,199,0,True
67,0.9893466804751923,79.60000000000001,0.005,0.592964824120603,199,0,True
68,0.9894192279986569,79.60000000000001,0.005,0.7085427135678392,199,0,True
69,0.988441342675255,79.60000000000001,0.005,0.7085427135678392,199,0,True
70,0.9902146899956946,79.60000000000001,0.005,0.6030150753768844,199,0,True
71,0.9901184271895097,79.60000000000001,0.005,0.628140703517588,199,0,True
72,0.9904359160060546,79.60000000000001,0.005,0.6331658291457286,199,0,True
73,0.9886790865949285,79.60000000000001,0.005,0.6331658291457286,199,0,True
74,0.9910329450869813,79.60000000000001,0.005,0.6733668341708543,199,0,True
75,0.9894499020670617,79.60000000000001,0.005,0.7035175879396985,199,0,True
76,0.9919927793440044,79.60000000000001,0.005,0.6331658291457286,199,0,True
77,0.9911659488232537,79.60000000000001,0.005,0.7537688442211056,199,0,True
78,0.9909731810243863,79.60000000000001,0.005,0.7336683417085427,199,0,True
79,0.9907427372490444,79.60000000000001,0.005,0.7537688442211056,199,0,True
80,0.9907548669991142,79.60000000000001,0.005,0.7185929648241206,199,0,True
81,0.9925468113247713,79.60000000000001,0.005,0.7587939698492462,199,0,True
82,0.9927516516569937,79.60000000000001,0.005,0.7437185929648241,199,0,True
83,0.9923944248246677,79.60000000000001,0.005,0.6482412060301508,199,0,True
84,0.992855448052652,79.60000000000001,0.005,0.5628140703517588,199,0,True
85,0.9946297759150462,79.60000000000001,0.005,0.5879396984924623,199,0,True
86,0.99018805458037,79.60000000000001,0.005,0.6180904522613065,199,0,True
87,0.9878345533928313,79.60000000000001,0.005,0.5678391959798995,199,0,True
88,0.9842814570170739,79.60000000000001,0.005,0.6432160804020101,199,0,True
89,0.9806423337048416,79.60000000000001,0.005,0.6683417085427136,199,0,True
90,0.9818778491404977,79.60000000000001,0.005,0.628140703517588,199,0,True
91,0.9850356419367855,79.60000000000001,0.005,0.6432160804020101,199,0,True
92,0.981015540162806,79.60000000000001,0.005,0.6030150753768844,199,0,True
93,0.9858857527349569,79.60000000000001,0.005,0.6080402010050251,199,0,True
94,0.9918374153671308,79.60000000000001,0.005,0.6080402010050251,199,0,True
95,0.9893817474240721,79.60000000000001,0.005,0.5879396984924623,199,0,True
96,0.9862847280137822,79.60000000000001,0.005,0.5376884422110553,199,0,True
97,0.9856874550098834,79.60000000000001,0.005,0.47738693467336685,199,0,True
98,0.9910139919277658,79.60000000000001,0.005,0.5477386934673367,199,0,True
99,0.9915482476593177,79.60000000000001,0.005,0.6030150753768844,199,0,True
100,0.9897775309524258,79.60000000000001,0.005,0.5628140703517588,199,0,True
101,0.9859480552163074,79.60000000000001,0.005,0.49246231155778897,199,0,True
102,0.9817465816763666,79.60000000000001,0.005,0.5477386934673367,199,0,True
103,0.9829353081239702,79.60000000000001,0.005,0.6381909547738693,199,0,True
104,0.9853752022139922,79.60000000000001,0.005,0.7638190954773869,199,0,True
105,0.9862169229010864,79.60000000000001,0.005,0.6884422110552764,199,0,True
106,0.9837901385977585,79.60000000000001,0.005,0.7236180904522613,199,0,True
107,0.9837905246265701,79.60000000000001,0.005,0.7587939698492462,199,0,True
108,0.9883066162694734,79.60000000000001,0.005,0.7386934673366834,199,0,True
109,0.9912801374008462,79.60000000000001,0.005,0.7386934673366834,199,0,True
110,0.9895877722055324,79.60000000000001,0.005,0.6482412060301508,199,0,True
111,0.9874964294776103,79.60000000000001,0.005,0.628140703517588,199,0,True
112,0.9871261762223074,79.60000000000001,0.005,0.5879396984924623,199,0,True
113,0.9907008484205811,79.60000000000001,0.005,0.5879396984924623,199,0,True
114,0.99081362372684,79.60000000000001,0.005,0.5778894472361809,199,0,True
115,0.9916910329113985,79.60000000000001,0.005,0.5979899497487438,199,0,True
116,0.9889355609859533,79.60000000000001,0.005,0.542713567839196,199,0,True
117,0.9863781475710239,79.60000000000001,0.005,0.5728643216080402,199,0,True
118,0.9878583715503518,79.60000000000001,0.005,0.6080402010050251,199,0,True
119,0.9861088431821763,79.60000000000001,0.005,0.6180904522613065,199,0,True
120,0.987111949931141,79.60000000000001,0.005,0.6080402010050251,199,0,True
121,0.9836948826755113,79.60000000000001,0.005,0.592964824120603,199,0,True
122,0.9766471681109777,79.60000000000001,0.005,0.6331658291457286,199,0,True
123,0.9795109621069378,79.60000000000001,0.005,0.5226130653266332,199,0,True
124,0.9846707954930796,79.60000000000001,0.005,0.5527638190954773,199,0,True
125,0.9819602280555346,79.60000000000001,0.005,0.5778894472361809,199,0,True
126,0.9765566251779629,79.60000000000001,0.005,0.5477386934673367,199,0,True
127,0.9820582512742826,79.60000000000001,0.005,0.6080402010050251,199,0,True
128,0.9782782351643314,79.60000000000001,0.005,0.6180904522613065,199,0,True
129,0.9789635796365225,79.60000000000001,0.005,0.5678391959798995,199,0,True
130,0.9810650333320099,79.60000000000001,0.005,0.5376884422110553,199,0,True
131,0.9820459576789973,79.60000000000001,0.005,0.6130653266331658,199,0,True
132,0.9833140594802402,79.60000000000001,0.005,0.6432160804020101,199,0,True
133,0.9865393818585467,79.60000000000001,0.005,0.6080402010050251,199,0,True
134,0.9854792154722629,79.60000000000001,0.005,0.542713567839196,199,0,True
135,0.9878263013921067,79.60000000000001,0.005,0.5326633165829145,199,0,True
136,0.9897488522852861,79.60000000000001,0.005,0.5527638190954773,199,0,True
137,0.9869485131092551,79.60000000000001,0.005,0.5477386934673367,199,0,True
138,0.9912260618271166,79.60000000000001,0.005,0.5477386934673367,199,0,True
139,0.9908272246040727,79.60000000000001,0.005,0.5778894472361809,199,0,True
140,0.9916596377285617,79.60000000000001,0.005,0.45226130653266333,199,0,True
141,0.9927606609316241,79.60000000000001,0.005,0.5226130653266332,199,0,True
142,0.9894062238746018,79.60000000000001,0.005,0.5477386934673367,199,0,True
143,0.9907314050848599,79.60000000000001,0.005,0.5829145728643216,199,0,True
144,0.9923208493175542,79.60000000000001,0.005,0.6331658291457286,199,0,True
145,0.993264410830624,79.60000000000001,0.005,0.5678391959798995,199,0,True
146,0.9924758627530629,79.60000000000001,0.005,0.7135678391959799,199,0,True
147,0.9940894288461501,79.60000000000001,0.005,0.7286432160804021,199,0,True
148,0.9912985040893855,79.60000000000001,0.005,0.6934673366834171,199,0,True
149,0.9914909249391134,79.60000000000001,0.005,0.6381909547738693,199,0,True
150,0.9896060716326472,79.60000000000001,0.005,0.6633165829145728,199,0,True
151,0.9928638027858271,79.60000000000001,0.005,0.678391959798995,199,0,True
152,0.9914269660845161,79.60000000000001,0.005,0.6432160804020101,199,0,True
153,0.992149592233806,79.60000000000001,0.005,0.678391959798995,199,0,True
154,0.9924137843361222,79.60000000000001,0.005,0.542713567839196,199,0,True
155,0.9904918178423626,79.60000000000001,0.005,0.5678391959798995,199,0,True
156,0.9917848256491001,79.60000000000001,0.005,0.542713567839196,199,0,True
157,0.9907863728310007,79.60000000000001,0.005,0.5326633165829145,199,0,True
158,0.9920306338850764,79.60000000000001,0.005,0.5628140703517588,199,0,True
159,0.9930123680696819,79.60000000000001,0.005,0.542713567839196,199,0,True
