Parameter,Label,Value,Bridge,Run,Polarization,Churn_Rate,Revenue,Avg_Frustration,Active_Users
BETA_MEAN,Cognitive Entrenchment (β),1.0,False,1,1.255035381575934e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,False,0,8.191532353571697e-12,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,False,2,1.752124387586314e-10,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,False,3,3.662282759003397e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,False,4,2.5266900033858962e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,True,0,1.2024045702839797e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,True,1,4.8151090828921116e-12,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,True,2,1.1140067660002795e-10,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,True,4,1.843261604913128e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),1.0,True,3,3.852849090349453e-11,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,False,1,8.483429698030712e-09,0.006,497.0,0.0,497.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,False,0,2.376057158790273e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,False,2,2.2093310421865793e-08,0.002,499.0,0.0,499.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,False,3,2.2942299567826626e-08,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,False,4,6.48036730249341e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,True,0,1.8555945894954864e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,True,1,3.973870376174951e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,True,2,2.3760416192915234e-08,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,True,3,8.769497778164193e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),2.0,True,4,8.830104278173543e-09,0.0,500.0,0.0,500.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,False,0,0.9308200961309218,0.296,140.8,0.9090909090909091,352.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,False,1,0.9117852908028041,0.288,142.4,0.8764044943820225,356.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,False,2,0.9459883926839967,0.298,140.4,0.8376068376068376,351.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,False,3,0.8913214792091028,0.33,134.0,0.7283582089552239,335.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,False,4,0.8748549192605384,0.336,132.8,0.7921686746987951,332.0
BETA_MEAN,Cognitive Entrenchment (β),3.0,True,0,0.9432143957301067,0.002,199.60000000000002,0.4729458917835671,499.0
