Comparison,Group1,Group2,Metric,N1,Mean1,SD1,CI95_1,N2,Mean2,SD2,CI95_2,Mean_Diff_G1_minus_G2,Cohen_d,Effect_Size,W_statistic,U_statistic,p_value_wilcoxon_raw,p_value_mwu_raw,p_value_raw,Degenerate,In_Bonferroni_Family,Trust_KPI,p_value_adjusted,Bonferroni_m,Significant_0.05
Baseline vs Bridge Only,Baseline,Bridge Only,Active_Users,30,304.1,11.3452101392371,"[300.0992, 308.0333]",30,498.1,1.5165750888103102,"[497.5667, 498.6333]",-194.0,-23.96945820345868,large,0.0,0.0,1.7278603148724103e-06,2.50619771859636e-11,1.7278603148724103e-06,No,Yes,No,0.00010712733952208945,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Avg_Frustration,30,0.9667799522381261,0.16690935089726613,"[0.9055, 1.0239]",30,0.5819056017980704,0.05758530997055327,"[0.5617, 0.6024]",0.3848743504400557,3.082706182215461,large,2.0,871.0,5.587935447692871e-09,5.072313498155901e-10,5.587935447692871e-09,No,Yes,No,3.46451997756958e-07,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Churn_Rate,30,0.39180000000000004,0.022690420278474198,"[0.3839, 0.3998]",30,0.0038,0.0030331501776206206,"[0.0027, 0.0049]",0.388,23.969458203458682,large,0.0,900.0,1.7278603148724103e-06,2.50619771859636e-11,1.7278603148724103e-06,No,Yes,No,0.00010712733952208945,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Ingroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.5,0.0,"[0.5000, 0.5000]",0.0,0.0,none,0.0,0.0,1.0,1.0,1.0,Yes,No,Yes,1.0,62,No
Baseline vs Bridge Only,Baseline,Bridge Only,Mean_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.5,0.0,"[0.5000, 0.5000]",0.0,0.0,none,0.0,0.0,1.0,1.0,1.0,Yes,No,Yes,1.0,62,No
Baseline vs Bridge Only,Baseline,Bridge Only,Opinion_Clustering,30,0.13164740641375217,0.02548379135437291,"[0.1228, 0.1407]",30,0.08302113291099238,0.015239927017505855,"[0.0776, 0.0884]",0.04862627350275979,2.3159583167673734,large,0.0,869.0,1.862645149230957e-09,6.121039395876218e-10,1.862645149230957e-09,No,Yes,No,1.1548399925231934e-07,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Outgroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.5,0.0,"[0.5000, 0.5000]",0.0,0.0,none,0.0,0.0,1.0,1.0,1.0,Yes,No,Yes,1.0,62,No
Baseline vs Bridge Only,Baseline,Bridge Only,Polarization,30,0.9550443875634224,0.038863782337739176,"[0.9409, 0.9683]",30,0.9903785868679462,0.0041775717523661795,"[0.9888, 0.9918]",-0.03533419930452386,-1.2784110223969376,large,12.0,135.0,1.30385160446167e-07,3.3241530490778984e-06,1.30385160446167e-07,No,Yes,No,8.083879947662354e-06,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Polarization_All,30,0.990429326958034,0.006924400541692503,"[0.9878, 0.9926]",30,0.9904530422262343,0.004142816533880664,"[0.9889, 0.9919]",-2.371526820033054e-05,-0.004156409715158128,negligible,194.0,476.0,0.4399667661637068,0.7061714882812296,0.4399667661637068,No,Yes,No,1.0,62,No
Baseline vs Bridge Only,Baseline,Bridge Only,Revenue,30,121.64,4.5380840556948385,"[120.0397, 123.2133]",30,199.24000000000004,0.6066300355241203,"[199.0267, 199.4533]",-77.60000000000004,-23.969458203458704,large,0.0,0.0,1.7300371292901245e-06,2.50619771859636e-11,1.7300371292901245e-06,No,Yes,No,0.00010726230201598772,62,Yes
Baseline vs Bridge Only,Baseline,Bridge Only,Trust_Segregation,30,1.0,0.0,"[1.0000, 1.0000]",30,1.0,0.0,"[1.0000, 1.0000]",0.0,0.0,none,0.0,0.0,1.0,1.0,1.0,Yes,No,Yes,1.0,62,No
Baseline vs Trust Only,Baseline,Trust Only,Active_Users,30,304.1,11.3452101392371,"[300.0992, 308.0333]",30,308.6666666666667,11.18907513152229,"[304.6000, 312.4667]",-4.566666666666663,-0.4052985925785435,small,88.0,340.0,0.0029115008270677073,0.10517466082584871,0.0029115008270677073,No,Yes,No,0.18051305127819786,62,No
Baseline vs Trust Only,Baseline,Trust Only,Avg_Frustration,30,0.9667799522381261,0.16690935089726613,"[0.9055, 1.0239]",30,0.9639799520692726,0.15117236010855883,"[0.9112, 1.0186]",0.0028000001688535114,0.017584032709771626,negligible,230.0,476.0,0.9676735773682594,0.7061714882812296,0.9676735773682594,No,Yes,No,1.0,62,No
Baseline vs Trust Only,Baseline,Trust Only,Churn_Rate,30,0.39180000000000004,0.022690420278474198,"[0.3839, 0.3998]",30,0.3826666666666666,0.02237815026304459,"[0.3751, 0.3908]",0.009133333333333438,0.4052985925785484,small,88.5,560.0,0.0030193173278809525,0.10517466082584871,0.0030193173278809525,No,Yes,No,0.18719767432861906,62,No
Baseline vs Trust Only,Baseline,Trust Only,Ingroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.980843574328333,0.005642432794700377,"[0.9788, 0.9827]",-0.480843574328333,-120.51813977009787,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Baseline vs Trust Only,Baseline,Trust Only,Mean_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.48939872060282485,0.012295030245285318,"[0.4850, 0.4936]",0.010601279397175145,1.219392941936081,large,51.0,750.0,6.286613643169403e-05,2.2081125829035794e-06,6.286613643169403e-05,No,Yes,Yes,0.00389770045876503,62,Yes
Baseline vs Trust Only,Baseline,Trust Only,Opinion_Clustering,30,0.13164740641375217,0.02548379135437291,"[0.1228, 0.1407]",30,0.13163256177887583,0.02710590868478137,"[0.1223, 0.1413]",1.484463487633203e-05,0.0005642769708661407,negligible,226.0,447.0,0.9032264724373817,0.9705160513002812,0.9032264724373817,No,Yes,No,1.0,62,No
Baseline vs Trust Only,Baseline,Trust Only,Outgroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.043172821450359916,0.02556092587193432,"[0.0348, 0.0528]",0.45682717854964006,25.274952668083714,large,0.0,900.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Baseline vs Trust Only,Baseline,Trust Only,Polarization,30,0.9550443875634224,0.038863782337739176,"[0.9409, 0.9683]",30,0.9553294326046682,0.03593260205060155,"[0.9422, 0.9675]",-0.00028504504124582386,-0.007616047613141962,negligible,229.0,474.0,0.9515264742076397,0.7282652959955469,0.9515264742076397,No,Yes,No,1.0,62,No
Baseline vs Trust Only,Baseline,Trust Only,Polarization_All,30,0.990429326958034,0.006924400541692503,"[0.9878, 0.9926]",30,0.9892235717132145,0.0064817077630061355,"[0.9868, 0.9915]",0.001205755244819473,0.17978347724114455,negligible,180.0,514.0,0.28936620615422726,0.3478277829758114,0.28936620615422726,No,Yes,No,1.0,62,No
Baseline vs Trust Only,Baseline,Trust Only,Revenue,30,121.64,4.5380840556948385,"[120.0397, 123.2133]",30,123.46666666666667,4.475630052608917,"[121.8400, 124.9867]",-1.826666666666668,-0.40529859257854417,small,89.0,340.0,0.003124344823120079,0.10517466082584871,0.003124344823120079,No,Yes,No,0.1937093790334449,62,No
Baseline vs Trust Only,Baseline,Trust Only,Trust_Segregation,30,1.0,0.0,"[1.0000, 1.0000]",30,31.276751811265353,18.82674886678182,"[24.9743, 38.2123]",-30.276751811265353,-2.274306272372069,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Baseline vs Full Model,Baseline,Full Model,Active_Users,30,304.1,11.3452101392371,"[300.0992, 308.0333]",30,498.93333333333334,0.9444331755018488,"[498.6000, 499.2667]",-194.83333333333331,-24.202828790502515,large,0.0,0.0,1.718092931245674e-06,2.301837775181969e-11,1.718092931245674e-06,No,Yes,No,0.0001065217617372318,62,Yes
Baseline vs Full Model,Baseline,Full Model,Avg_Frustration,30,0.9667799522381261,0.16690935089726613,"[0.9055, 1.0239]",30,0.572515519237819,0.05577465620207882,"[0.5532, 0.5927]",0.3942644330003071,3.1683649136894014,large,1.0,873.0,3.725290298461914e-09,4.1950146075720133e-10,3.725290298461914e-09,No,Yes,No,2.3096799850463867e-07,62,Yes
Baseline vs Full Model,Baseline,Full Model,Churn_Rate,30,0.39180000000000004,0.022690420278474198,"[0.3839, 0.3998]",30,0.0021333333333333334,0.0018888663510036976,"[0.0015, 0.0028]",0.3896666666666667,24.20282879050253,large,0.0,900.0,1.7213435893906393e-06,2.301837775181969e-11,1.7213435893906393e-06,No,Yes,No,0.00010672330254221963,62,Yes
Baseline vs Full Model,Baseline,Full Model,Ingroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.9698032402829734,0.004566988959968177,"[0.9681, 0.9713]",-0.4698032402829734,-145.4792468032672,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Baseline vs Full Model,Baseline,Full Model,Mean_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.5194364947703767,0.011982952893377702,"[0.5152, 0.5236]",-0.019436494770376678,-2.293871531820102,large,5.0,60.0,1.862645149230957e-08,7.47159608822232e-10,1.862645149230957e-08,No,Yes,Yes,1.1548399925231934e-06,62,Yes
Baseline vs Full Model,Baseline,Full Model,Opinion_Clustering,30,0.13164740641375217,0.02548379135437291,"[0.1228, 0.1407]",30,0.08702393818406193,0.013593270654590213,"[0.0821, 0.0919]",0.04462346822969024,2.1849578474727833,large,0.0,867.0,1.862645149230957e-09,7.380285855777029e-10,1.862645149230957e-09,No,Yes,No,1.1548399925231934e-07,62,Yes
Baseline vs Full Model,Baseline,Full Model,Outgroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.029284738498552957,0.010119198660399965,"[0.0259, 0.0331]",0.47071526150144705,65.785041797473,large,0.0,900.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Baseline vs Full Model,Baseline,Full Model,Polarization,30,0.9550443875634224,0.038863782337739176,"[0.9409, 0.9683]",30,0.9889757885059659,0.004693823075413518,"[0.9873, 0.9906]",-0.033931400942543544,-1.2258211103535204,large,31.0,154.0,4.421919584274292e-06,1.2493242098147689e-05,4.421919584274292e-06,No,Yes,No,0.0002741590142250061,62,Yes
Baseline vs Full Model,Baseline,Full Model,Polarization_All,30,0.990429326958034,0.006924400541692503,"[0.9878, 0.9926]",30,0.9890057285907224,0.004668817619978518,"[0.9873, 0.9906]",0.0014235983673115404,0.24107122612267587,small,140.0,563.0,0.05768792890012264,0.09626283103615173,0.05768792890012264,No,Yes,No,1.0,62,No
Baseline vs Full Model,Baseline,Full Model,Revenue,30,121.64,4.5380840556948385,"[120.0397, 123.2133]",30,199.57333333333335,0.3777732702007408,"[199.4400, 199.7067]",-77.93333333333335,-24.202828790502537,large,0.0,0.0,1.7235135468062213e-06,2.301837775181969e-11,1.7235135468062213e-06,No,Yes,No,0.00010685783990198573,62,Yes
Baseline vs Full Model,Baseline,Full Model,Trust_Segregation,30,1.0,0.0,"[1.0000, 1.0000]",30,36.64778490210712,11.174943189441167,"[32.6971, 40.6238]",-35.64778490210712,-4.511305339319565,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Active_Users,30,498.1,1.5165750888103102,"[497.5667, 498.6333]",30,308.6666666666667,11.18907513152229,"[304.6000, 312.4667]",189.43333333333334,23.72597876292548,large,0.0,900.0,1.7245993818153558e-06,2.4998175298546228e-11,1.7245993818153558e-06,No,Yes,No,0.00010692516167255205,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Avg_Frustration,30,0.5819056017980704,0.05758530997055327,"[0.5617, 0.6024]",30,0.9639799520692726,0.15117236010855883,"[0.9112, 1.0186]",-0.3820743502712022,-3.3401661433750527,large,0.0,1.0,1.862645149230957e-09,3.3383888204287995e-11,1.862645149230957e-09,No,Yes,No,1.1548399925231934e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Churn_Rate,30,0.0038,0.0030331501776206206,"[0.0027, 0.0049]",30,0.3826666666666666,0.02237815026304459,"[0.3751, 0.3908]",-0.3788666666666666,-23.725978762925465,large,0.0,0.0,1.7256857880058036e-06,2.4998175298546228e-11,1.7256857880058036e-06,No,Yes,No,0.00010699251885635982,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Ingroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.980843574328333,0.005642432794700377,"[0.9788, 0.9827]",-0.480843574328333,-120.51813977009787,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Mean_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.48939872060282485,0.012295030245285318,"[0.4850, 0.4936]",0.010601279397175145,1.219392941936081,large,51.0,750.0,6.286613643169403e-05,2.2081125829035794e-06,6.286613643169403e-05,No,Yes,Yes,0.00389770045876503,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Opinion_Clustering,30,0.08302113291099238,0.015239927017505855,"[0.0776, 0.0884]",30,0.13163256177887583,0.02710590868478137,"[0.1223, 0.1413]",-0.04861142886788346,-2.210769006756078,large,0.0,39.0,1.862645149230957e-09,1.2870382993242025e-09,1.862645149230957e-09,No,Yes,No,1.1548399925231934e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Outgroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.043172821450359916,0.02556092587193432,"[0.0348, 0.0528]",0.45682717854964006,25.274952668083714,large,0.0,900.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Polarization,30,0.9903785868679462,0.0041775717523661795,"[0.9888, 0.9918]",30,0.9553294326046682,0.03593260205060155,"[0.9422, 0.9675]",0.03504915426327804,1.3702140603212414,large,4.0,814.0,1.30385160446167e-08,7.694963560950099e-08,1.30385160446167e-08,No,Yes,No,8.083879947662354e-07,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Polarization_All,30,0.9904530422262343,0.004142816533880664,"[0.9889, 0.9919]",30,0.9892235717132145,0.0064817077630061355,"[0.9868, 0.9915]",0.0012294705130198036,0.2260280185464743,small,189.0,461.0,0.3817984350025654,0.8766349003139949,0.3817984350025654,No,Yes,No,1.0,62,No
Bridge Only vs Trust Only,Bridge Only,Trust Only,Revenue,30,199.24000000000004,0.6066300355241203,"[199.0267, 199.4533]",30,123.46666666666667,4.475630052608917,"[121.8400, 124.9867]",75.77333333333337,23.72597876292549,large,0.0,900.0,1.7311263949197286e-06,2.4998175298546228e-11,1.7311263949197286e-06,No,Yes,No,0.00010732983648502318,62,Yes
Bridge Only vs Trust Only,Bridge Only,Trust Only,Trust_Segregation,30,1.0,0.0,"[1.0000, 1.0000]",30,31.276751811265353,18.82674886678182,"[24.9743, 38.2123]",-30.276751811265353,-2.274306272372069,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Full Model,Bridge Only,Full Model,Active_Users,30,498.1,1.5165750888103102,"[497.5667, 498.6333]",30,498.93333333333334,0.9444331755018488,"[498.6000, 499.2667]",-0.8333333333333144,-0.6596376536504961,medium,59.0,308.0,0.007657091829025417,0.030999505002856698,0.007657091829025417,No,Yes,No,0.4747396933995759,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Avg_Frustration,30,0.5819056017980704,0.05758530997055327,"[0.5617, 0.6024]",30,0.572515519237819,0.05577465620207882,"[0.5532, 0.5927]",0.009390082560251423,0.16564727898957257,negligible,199.0,494.0,0.5027610473334789,0.5201214222225605,0.5027610473334789,No,Yes,No,1.0,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Churn_Rate,30,0.0038,0.0030331501776206206,"[0.0027, 0.0049]",30,0.0021333333333333334,0.0018888663510036976,"[0.0015, 0.0028]",0.0016666666666666666,0.6596376536505111,medium,59.0,592.0,0.007657091829025417,0.030999505002856698,0.007657091829025417,No,Yes,No,0.4747396933995759,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Ingroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.9698032402829734,0.004566988959968177,"[0.9681, 0.9713]",-0.4698032402829734,-145.4792468032672,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Full Model,Bridge Only,Full Model,Mean_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.5194364947703767,0.011982952893377702,"[0.5152, 0.5236]",-0.019436494770376678,-2.293871531820102,large,5.0,60.0,1.862645149230957e-08,7.47159608822232e-10,1.862645149230957e-08,No,Yes,Yes,1.1548399925231934e-06,62,Yes
Bridge Only vs Full Model,Bridge Only,Full Model,Opinion_Clustering,30,0.08302113291099238,0.015239927017505855,"[0.0776, 0.0884]",30,0.08702393818406193,0.013593270654590213,"[0.0821, 0.0919]",-0.004002805273069551,-0.2772008587918945,small,100.0,380.0,0.005382779985666275,0.30417681801970364,0.005382779985666275,No,Yes,No,0.33373235911130905,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Outgroup_Trust,30,0.5,0.0,"[0.5000, 0.5000]",30,0.029284738498552957,0.010119198660399965,"[0.0259, 0.0331]",0.47071526150144705,65.785041797473,large,0.0,900.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Bridge Only vs Full Model,Bridge Only,Full Model,Polarization,30,0.9903785868679462,0.0041775717523661795,"[0.9888, 0.9918]",30,0.9889757885059659,0.004693823075413518,"[0.9873, 0.9906]",0.0014027983619803175,0.3157179192323077,small,136.0,544.0,0.047259049490094185,0.1668661704632597,0.047259049490094185,No,Yes,No,1.0,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Polarization_All,30,0.9904530422262343,0.004142816533880664,"[0.9889, 0.9919]",30,0.9890057285907224,0.004668817619978518,"[0.9873, 0.9906]",0.001447313635511871,0.3279168943435848,small,136.0,547.0,0.047259049490094185,0.1536672354850899,0.047259049490094185,No,Yes,No,1.0,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Revenue,30,199.24000000000004,0.6066300355241203,"[199.0267, 199.4533]",30,199.57333333333335,0.3777732702007408,"[199.4400, 199.7067]",-0.3333333333333144,-0.659637653650476,medium,71.5,308.0,0.023771196416361093,0.030999505002856698,0.023771196416361093,No,Yes,No,1.0,62,No
Bridge Only vs Full Model,Bridge Only,Full Model,Trust_Segregation,30,1.0,0.0,"[1.0000, 1.0000]",30,36.64778490210712,11.174943189441167,"[32.6971, 40.6238]",-35.64778490210712,-4.511305339319565,large,0.0,0.0,1.862645149230957e-09,1.2117803970059759e-12,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Active_Users,30,308.6666666666667,11.18907513152229,"[304.6000, 312.4667]",30,498.93333333333334,0.9444331755018488,"[498.6000, 499.2667]",-190.26666666666665,-23.963041400664746,large,0.0,0.0,1.7170105183845441e-06,2.295934424581855e-11,1.7170105183845441e-06,No,Yes,No,0.00010645465213984174,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Avg_Frustration,30,0.9639799520692726,0.15117236010855883,"[0.9112, 1.0186]",30,0.572515519237819,0.05577465620207882,"[0.5532, 0.5927]",0.3914644328314536,3.435756585433363,large,0.0,900.0,1.862645149230957e-09,3.016075319890922e-11,1.862645149230957e-09,No,Yes,No,1.1548399925231934e-07,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Churn_Rate,30,0.3826666666666666,0.02237815026304459,"[0.3751, 0.3908]",30,0.0021333333333333334,0.0018888663510036976,"[0.0015, 0.0028]",0.3805333333333333,23.96304140066474,large,0.0,900.0,1.7170105183845441e-06,2.295934424581855e-11,1.7170105183845441e-06,No,Yes,No,0.00010645465213984174,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Ingroup_Trust,30,0.980843574328333,0.005642432794700377,"[0.9788, 0.9827]",30,0.9698032402829734,0.004566988959968177,"[0.9681, 0.9713]",0.011040334045359645,2.1508733151529817,large,1.0,834.0,3.725290298461914e-09,1.4294165868692731e-08,3.725290298461914e-09,No,Yes,Yes,2.3096799850463867e-07,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Mean_Trust,30,0.48939872060282485,0.012295030245285318,"[0.4850, 0.4936]",30,0.5194364947703767,0.011982952893377702,"[0.5152, 0.5236]",-0.030037774167551823,-2.4742823712674515,large,0.0,31.0,1.862645149230957e-09,6.121039395876218e-10,1.862645149230957e-09,No,Yes,Yes,1.1548399925231934e-07,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Opinion_Clustering,30,0.13163256177887583,0.02710590868478137,"[0.1223, 0.1413]",30,0.08702393818406193,0.013593270654590213,"[0.0821, 0.0919]",0.044608623594813906,2.080444966767254,large,1.0,853.0,3.725290298461914e-09,2.6694713877402853e-09,3.725290298461914e-09,No,Yes,No,2.3096799850463867e-07,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Outgroup_Trust,30,0.043172821450359916,0.02556092587193432,"[0.0348, 0.0528]",30,0.029284738498552957,0.010119198660399965,"[0.0259, 0.0331]",0.01388808295180696,0.7144397393450295,medium,84.0,603.0,0.0015832837671041489,0.02415688464281263,0.0015832837671041489,No,Yes,Yes,0.09816359356045723,62,No
Trust Only vs Full Model,Trust Only,Full Model,Polarization,30,0.9553294326046682,0.03593260205060155,"[0.9422, 0.9675]",30,0.9889757885059659,0.004693823075413518,"[0.9873, 0.9906]",-0.03364635590129772,-1.3130772087197382,large,10.0,114.0,8.009374141693115e-08,7.04298006785356e-07,8.009374141693115e-08,No,Yes,No,4.9658119678497314e-06,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Polarization_All,30,0.9892235717132145,0.0064817077630061355,"[0.9868, 0.9915]",30,0.9890057285907224,0.004668817619978518,"[0.9873, 0.9906]",0.0002178431224920674,0.038566758634251415,negligible,222.0,482.0,0.8393927440047264,0.641423522520332,0.8393927440047264,No,Yes,No,1.0,62,No
Trust Only vs Full Model,Trust Only,Full Model,Revenue,30,123.46666666666667,4.475630052608917,"[121.8400, 124.9867]",30,199.57333333333335,0.3777732702007408,"[199.4400, 199.7067]",-76.10666666666668,-23.96304140066475,large,0.0,0.0,1.7256857880058036e-06,2.295934424581855e-11,1.7256857880058036e-06,No,Yes,No,0.00010699251885635982,62,Yes
Trust Only vs Full Model,Trust Only,Full Model,Trust_Segregation,30,31.276751811265353,18.82674886678182,"[24.9743, 38.2123]",30,36.64778490210712,11.174943189441167,"[32.6971, 40.6238]",-5.371033090841767,-0.3469424254139271,small,135.0,304.0,0.044907208532094955,0.03146563257725609,0.044907208532094955,No,Yes,Yes,1.0,62,No
